Id,Deceased Name,Deceased First Name,Deceased Last Name,Deceased Hebrew,Gender,English Date,Hebrew Date,English Observance,Next Date,Notes,Plaque,Relationship,External Id,2 Adar Observe,Buried Date,Buried Location,Maiden Name,After Sunset,Pronoun,Mourner,Normalized 2 Adar Observe,Plot Number,Plaque Number,Mourner 1 Name,Mourner 1 Id,Mourner 1 Account Id,Deceased Is Mourner 1's,Mourner 2 Name,Mourner 2 Id,Mourner 2 Account Id,Deceased Is Mourner 2's,Mourner 3 Name,Mourner 3 Id,Mourner 3 Account Id,Deceased Is Mourner 3's,Mourner 4 Name,Mourner 4 Id,Mourner 4 Account Id,Deceased Is Mourner 4's,Mourner 5 Name,Mourner 5 Id,Mourner 5 Account Id,"Deceased Is Mourner 5's""100000,""Rabbi Shlomo Itzhaki",RECYCLED
100001,Braxton Berrios,RECYCLED,,Wide Receiver,,1995-10-06,,,,,,,,,,,,,,,,,,,,,,,,BraxtonBerrios01.jpeg,,,,,,,Braxton Berrios is an American football wide receiver for the New England Patriots of the National Football League. He played college football at the University of Miami.,,,,,,,
100002,Brian Hoyer,RECYCLED,,Quarterback,,1985-10-13,,,,,,,,,,,,,,,,,,,,,,,,BrianHoyer01.jpeg,,,,,,,Brian Hoyer is an American football quarterback for the New England Patriots of the National Football League. He was signed by the Patriots as an undrafted free agent in 2009. He played college football at Michigan State.,,,,,,,
100004,Chris Hogan,RECYCLED,,Wide Receiver,,1988-10-24,,,,,,,,,,,,,,,,,,,,,,,,ChrisHogan01.jpeg,,,,,,,"Christopher James Hogan is an American football wide receiver for the New England Patriots of the National Football League. He played college football at Monmouth University. Prior to his football career, he played intercollegiate lacrosse at Penn State.",,,,,,,
100005,Cordarrelle Patterson,RECYCLED,,Wide Receiver,,1991-03-17,,,,,,,,,,,,,,,,,,,,,,,,CordarrellePatterson01.jpeg,,,,,,,Cordarrelle Patterson is an American football wide receiver for the New England Patriots of the National Football League. He was drafted by the Minnesota Vikings in the first round of the 2013 NFL Draft. He played college football at Tennessee. ,,,,,,,
100006,David Andrews,RECYCLED,,Center,,1992-07-10,,,,,,,,,,,,,,,,,,,,,,,,DavidAndrews01.jpeg,,,,,,,David Andrews is an American football center for the New England Patriots of the National Football League. He played college football at the University of Georgia. His uncle is former Cowboys player and Broncos coach Dan Reeves.,,,,,,,
100007,Devin McCourty,RECYCLED,,Safety,,1987-08-13,,,,,,,,,,,,,,,,,,,,,,,,DevinMcCourty01.jpeg,,,,,,,"Devin McCourty is an American football free safety for the New England Patriots of the National Football League. He played college football at Rutgers, and was drafted by the Patriots in the first round of the 2010 NFL Draft.",,,,,,,
100008,Duron Harmon,RECYCLED,,Safety,,1991-01-24,,,,,,,,,,,,,,,,,,,,,,,,DuronHarmon01.jpeg,,,,,,,"Duron Harmon is an American football safety for the New England Patriots of the National Football League. Harmon was nicknamed ""The Closer"" by fans and media for his ability to come up with late, game-sealing interceptions. He was drafted by the Patriots in the third round of the 2013 NFL Draft.",,,,,,,
100009,Dwayne Allen,RECYCLED,,Tight end,,1990-02-24,,,,,,,,,,,,,,,,,,,,,,,,DwayneAllen01.jpeg,,,,,,,"Dwayne Lamont Allen is an American football tight end for the New England Patriots of the National Football League. He played college football for Clemson University, earned consensus All-American honors, and was recognized as the most outstanding college tight end in 2011.",,,,,,,
100010,Isaiah Wynn,RECYCLED,,Offensive tackle,,1996-12-09,,,,,,,,,,,,,,,,,,,,,,,,IsaiahWynn01.jpeg,,,,,,,Isaiah Emmanuel Wynn is an American football offensive tackle for the New England Patriots of the National Football League. He played college football at Georgia,,,,,,,
100011,Jacob Hollister,RECYCLED,,Tight end,,1993-11-18,,,,,,,,,,,,,,,,,,,,,,,,JacobHollister01.jpeg,,,,,,,Jacob Hollister is an American football tight end for the New England Patriots of the National Football League. He played college football at Wyoming.,,,,,,,
100012,James Develin,RECYCLED,,Running back,,1988-07-23,,,,,,,,,,,,,,,,,,,,,,,,JamesDevelin01.jpeg,,,,,,,"James Rittenhouse Develin, Jr. is an American football fullback for the New England Patriots of the National Football League. He played college football for Brown University as a defensive end. He was originally signed as an undrafted free agent by the Oklahoma City Yard Dawgz of the Arena Football League.",,,,,,,
100014,James White,RECYCLED,,Running back,,1992-02-03,,,,,,,,,,,,,,,,,,,,,,,,JamesWhite01.jpeg,,,,,,,James Calvin White is an American football running back for the New England Patriots of the National Football League. He played college football at Wisconsin and was drafted by the Patriots in the fourth round of the 2014 NFL Draft. ,,,,,,,
100015,Jeremy Hill,RECYCLED,,Running back,,1992-10-20,,,,,,,,,,,,,,,,,,,,,,,,JeremyHill01.jpeg,,,,,,,Jeremy Hill is an American football running back for the New England Patriots of the National Football League. He was drafted by the Cincinnati Bengals in the second round of the 2014 NFL Draft. He played college football at Louisiana State University.,,,,,,,
100016,Joe Thuney,RECYCLED,,Guard,,1992-11-16,,,,,,,,,,,,,,,,,,,,,,,,JoeThuney01.jpeg,,,,,,,Joseph Thuney is an American football guard for the New England Patriots of the National Football League. He played college football at NC State.,,,,,,,
100017,Josh Gordon,RECYCLED,,Wide Receiver,,1991-04-13,,,,,,,,,,,,,,,,,,,,,,,,JoshGordon01.jpeg,,,,,,,"oshua Caleb Gordon, nicknamed Flash, is an American football wide receiver who last played for the New England Patriots of the National Football League. He played college football at Baylor, and was drafted by the Cleveland Browns in the second round of the 2012 NFL Supplemental ",,,,,,,
100018,Julian Edelman,RECYCLED,,Wide Receiver,,1986-05-22,,,,,,,,,,,,,,,,,,,,,,,,JulianEdelman01.jpeg,,,,,,,Julian Francis Edelman is an American football wide receiver and punt returner for the New England Patriots of the National Football League. He played college football at Kent State and College of San Mateo as a quarterback.,,,,,,,
100020,Marcus Cannon,RECYCLED,,Offensive tackle,,1988-05-06,,,,,,,,,,,,,,,,,,,,,,,,MarcusCannon01.jpeg,,,,,,,"Marcus Darell Cannon is an American football offensive tackle with the New England Patriots of the National Football League. Prior to the 2011 NFL Draft, Cannon was considered one of the top offensive tackle prospects and was selected by the Patriots in the fifth round with the 138th pick of the draft.",,,,,,,
100021,Matthew Slater,RECYCLED,,Wide Receiver,,1985-09-09,,,,,,,,,,,,,,,,,,,,,,,,MatthewSlater01.jpeg,,,,,,,"Matthew Wilson Slater is an American football special teamer for the New England Patriots. He played college football at UCLA, and was drafted by the Patriots in the fifth round of the 2008 NFL Draft. A three-time Super Bowl champion, Slater has made seven Pro Bowls as a special teamer. ",,,,,,,
100022,Obi Melifonwu,RECYCLED,,Safety,,1994-04-05,,,,,,,,,,,,,,,,,,,,,,,,ObiMelifonwu01.jpeg,,,,,,,Henry-William Obiajulu Melifonwu is an American football safety for the New England Patriots of the National Football League. He played college football at Connecticut. He was originally selected in the 2017 NFL draft by the Oakland Raiders.,,,,,,,
100023,Phillip Dorsett,RECYCLED,,Wide Receiver,,1993-01-05,,,,,,,,,,,,,,,,,,,,,,,,PhillipDorsett01.jpeg,,,,,,,"Phillip Dorsett is an American football wide receiver for the New England Patriots of the National Football League. He played college football for the University of Miami Hurricanes, and was drafted by the Indianapolis Colts in the first round of the 2015 NFL Draft.",,,,,,,
100024,Rex Burkhead,RECYCLED,,Running back,,1990-07-02,,,,,,,,,,,,,,,,,,,,,,,,RexBurkhead01.jpeg,,,,,,,Cordarrelle Patterson is an American football wide receiver for the New England Patriots of the National Football League. He was drafted by the Minnesota Vikings in the first round of the 2013 NFL Draft. He played college football at Tennessee. ,,,,,,,
100025,Rob Gronkowski,RECYCLED,,Tight end,,1989-05-14,,,,,,,,,,,,,,,,,,,,,,,,RobGronkowski01.jpeg,,,,,,,"Robert James Gronkowski, often known by his nickname ‘Gronk’, is an American football tight end for the New England Patriots of the National Football League. He played college football at Arizona, winning several awards, including being named a Sporting News and Rivals.com freshman All-American.",,,,,,,
100026,Ryan Allen,RECYCLED,,Punter,,1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,RyanAllen01.jpeg,,,,,,,Ryan Allen is an American football punter for the New England Patriots of the National Football League. He played college football for the Louisiana Tech Bulldogs. Allen won the 2011 and 2012 Ray Guy Awards and was a consensus All-American in 2012.,,,,,,,
100028,Sony Michel,RECYCLED,,Running back,,1995-02-17,,,,,,,,,,,,,,,,,,,,,,,,SonyMichel01.jpeg,,,,,,,Julian Francis Edelman is an American football wide receiver and punt returner for the New England Patriots of the National Football League. He played college football at Kent State and College of San Mateo as a quarterback.,,,,,,,
100029,Stephen Anderson,RECYCLED,,Tight end,,1993-01-30,,,,,,,,,,,,,,,,,,,,,,,,StephenAnderson01.jpeg,,,,,,,Stephen Anderson is an American football tight end for the New England Patriots of the National Football League. He played college football at California and signed with the Houston Texans as an undrafted free agent in 2016.,,,,,,,
100030,Ted Karras,RECYCLED,,Guard,,1993-03-15,,,,,,,,,,,,,,,,,,,,,,,,TedKarras01.jpeg,,,,,,,Theodore George Karras III is an American football center for the New England Patriots of the National Football League. He played college football at Illinois.,,,,,,,
100031,Tom Brady,RECYCLED,,Quarterback,,1977-08-03,,,,,,,,,,,,,,,,,,,,,,,,TomBrady01.jpeg,,,,,,,"Thomas Edward Patrick Brady Jr. is an American football quarterback for the New England Patriots of the National Football League. Due to his numerous accomplishments, records, and accolades, many analysts and sportswriters consider Brady to be among the greatest quarterbacks in NFL history.",,,,,,,
100032,Trenton Brown,RECYCLED,,Guard,,1993-04-13,,,,,,,,,,,,,,,,,,,,,,,,TrentonBrown01.jpeg,,,,,,,"Trenton Jacoby ‘Trent’ Brown is an American football offensive tackle for the New England Patriots of the National Football League. He played college football for Georgia Military College and the University of Florida, and was drafted by San Francisco 49ers in the seventh round of the 2015 NFL Draft. ",,,,,,,
100034,Patrick Chung,RECYCLED,,Safety,,1987-08-19,,,,,,,,,,,,,,,,,,,,,,,,PatrickChung01.jpeg,,,,,,,Patrick Christopher Chung is an American football strong safety for the New England Patriots of the National Football League. He was drafted by the Patriots in the second round of the 2009 NFL Draft. He played college football at Oregon and has also been a member of the Philadelphia Eagles.,,,,,,,
100035,Dont’a Hightower,RECYCLED,,Linebacker,,1990-03-12,,,,,,,,,,,,,,,,,,,,,,,,Dont’aHightower01.jpeg,,,,,,,Qualin Dont'a Hightower is an American football outside linebacker for the New England Patriots of the National Football League,,,,,,,
100036,Jason McCourty,RECYCLED,,Cornerback,,1987-08-13,,,,,,,,,,,,,,,,,,,,,,,,JasonMcCourty01.jpeg,,,,,,,"Christopher James Hogan is an American football wide receiver for the New England Patriots of the National Football League. He played college football at Monmouth University. Prior to his football career, he played intercollegiate lacrosse at Penn State.",,,,,,,
100037,Stephen Gostkowski,RECYCLED,,Placekicker,,1984-01-28,,,,,,,,,,,,,,,,,,,,,,,,StephenGostkowski01.jpeg,,,,,,,"Stephen Carroll Gostkowski is an American football placekicker for the New England Patriots of the National Football League. He was drafted by the Patriots in the fourth round of the 2006 NFL Draft. One of just two kickers drafted, Gostkowski was the only rookie kicker to make an NFL roster that year.",,,,,,,
100038,Stephon Gilmore,RECYCLED,,Cornerback,,1990-09-19,,,,,,,,,,,,,,,,,,,,,,,,StephonGilmore01.jpeg,,,,,,,Stephon Stiles Gilmore is an American football cornerback for the New England Patriots of the National Football League.,,,,,,,
100039,J.C. Jackson,RECYCLED,,Cornerback,,1995-11-17,,,,,,,,,,,,,,,,,,,,,,,,JCJackson01.jpeg,,,,,,,"Jerald Christopher Jackson is an American football cornerback for the New England Patriots of the National Football League. He played college football for the Maryland Terrapins. Following the 2017 NCAA football season, Jackson declared for the 2018 NFL Draft and participated in the 2018 NFL Scouting Combine.",,,,,,,
100040,Trey Flowers,RECYCLED,,Defensive end,,1993-08-13,,,,,,,,,,,,,,,,,,,,,,,,TreyFlowers01.jpeg,,,,,,,Robert Lee ‘Trey’ Flowers III is an American football defensive end for the New England Patriots of the National Football League. He played college football at Arkansas.,,,,,,,
100041,Danny Shelton,RECYCLED,,Nose tackle,,1993-08-20,,,,,,,,,,,,,,,,,,,,,,,,DannyShelton01.jpeg,,,,,,,Daniel Saileupumoni Shelton is an American football defensive tackle for the New England Patriots of the National Football League. He was drafted by the Cleveland Browns in the first round of the 2015 NFL Draft. He played college football at Washington.,,,,,,,
100042,Malcom Brown,RECYCLED,,Defensive tackle,,1994-02-02,,,,,,,,,,,,,,,,,,,,,,,,MalcomBrown01.jpeg,,,,,,,Malcom D'Shawn Brown is an American football defensive tackle for the New England Patriots of the National Football League. He played college football at Texas. He was drafted by the New England Patriots with the 32nd overall pick in the 2015 NFL draft.,,,,,,,
100043,Kyle Van Noy,RECYCLED,,Linebacker,,1991-03-26,,,,,,,,,,,,,,,,,,,,,,,,KyleVanNoy01.jpeg,,,,,,,"Kyle Van Noy is an American football linebacker for the New England Patriots of the National Football League. He was drafted by the Detroit Lions in the second round of the 2014 NFL Draft after playing college football at BYU, where he was recognized as a third team All-American.",,,,,,,
100044,Derek Rivers,RECYCLED,,Defensive end,,1994-05-09,,,,,,,,,,,,,,,,,,,,,,,,DerekRivers01.jpeg,,,,,,,Henry-William Obiajulu Melifonwu is an American football safety for the New England Patriots of the National Football League. He played college football at Connecticut. He was originally selected in the 2017 NFL draft by the Oakland Raiders.,,,,,,,
100045,Jonathan Jones,RECYCLED,,Cornerback,,1993-09-20,,,,,,,,,,,,,,,,,,,,,,,,JonathanJones01.jpeg,,,,,,,Jeremy Hill is an American football running back for the New England Patriots of the National Football League. He was drafted by the Cincinnati Bengals in the second round of the 2014 NFL Draft. He played college football at Louisiana State University.,,,,,,,
100046,Ufomba Kamalu,RECYCLED,,Defensive end,,1992-11-02,,,,,,,,,,,,,,,,,,,,,,,,UfombaKamalu01.jpeg,,,,,,,Ufomba Kamalu is an American football defensive tackle for the New England Patriots of the National Football League. He played college football at Miami and signed with the Houston Texans as an undrafted free agent in 2016.,,,,,,,
100047,Adrian Clayborn,RECYCLED,,Defensive end,,1988-07-06,,,,,,,,,,,,,,,,,,,,,,,,AdrianClayborn01.jpeg,,,,,,,"Adrian Jarrell Clayborn is an American football defensive end for the New England Patriots of the National Football League. He played college football for the University of Iowa, and earned consensus All-American honors. He was drafted by the Tampa Bay Buccaneers in the first round of the 2011 NFL Draft.",,,,,,,
100048,John Simon,RECYCLED,,Defensive end,,1990-10-14,,,,,,,,,,,,,,,,,,,,,,,,JohnSimon01.jpeg,,,,,,,"John Simon is an American football defensive end for the New England Patriots of the National Football League. He played college football at Ohio State, and was drafted by the Baltimore Ravens in the fourth round of the 2013 NFL Draft. He has also played for the Houston Texans and Indianapolis Colts.",,,,,,,
100049,Lawrence Guy,RECYCLED,,Defensive end,,1990-03-17,,,,,,,,,,,,,,,,,,,,,,,,LawrenceGuy01.jpeg,,,,,,,"Lawrence Thomas Guy is an American football defensive tackle for the New England Patriots of the National Football League. Prior to being drafted by the Green Bay Packers, Guy played college football at Arizona State University. He has also played with the Indianapolis Colts, Baltimore Ravens and San Diego Chargers. ",,,,,,,
100050,Albert McClellan,RECYCLED,,Linebacker,,1986-06-04,,,,,,,,,,,,,,,,,,,,,,,,AlbertMcClellan01.jpeg,,,,,,,"Albert Jamel McClellan is an American football inside linebacker for the New England Patriots of the National Football League. He played college football at Marshall University from 2005 to 2009, and was signed by the Baltimore Ravens as an undrafted free agent after the 2010 NFL Draft.",,,,,,,
100051,Duke Dawson,RECYCLED,,Cornerback,,1995-10-03,,,,,,,,,,,,,,,,,,,,,,,,DukeDawson01.jpeg,,,,,,,Duke Dawson is an American football cornerback for the New England Patriots of the National Football League. He played college football at Florida.,,,,,,,
100052,Eric Rowe,RECYCLED,,Cornerback,,1992-10-03,,,,,,,,,,,,,,,,,,,,,,,,EricRowe01.jpeg,,,,,,,Nelson Eric Rowe Jr. is an American football cornerback for the New England Patriots of the National Football League. He played college football at Utah.,,,,,,,
100053,Deatrich Wise Jr.,RECYCLED,,Defensive end,,1994-07-26,,,,,,,,,,,,,,,,,,,,,,,,DeatrichWiseJr.01.jpeg,,,,,,,"Deatrich Wise Jr. is an American football defensive end for the New England Patriots of the National Football League. He attended Hebron High School in Carrollton, Texas before playing college football at Arkansas.",,,,,,,
100054,Nate Ebner,RECYCLED,,Safety,,1988-12-14,,,,,,,,,,,,,,,,,,,,,,,,NateEbner01.jpeg,,,,,,,"Nathan Ebner is an American football safety and special teamer for the New England Patriots of the National Football League, and a rugby sevens player for the United States national rugby sevens team. He is the first active NFL player to compete in the Olympics.",,,,,,,
100055,Adam Butler,RECYCLED,,Defensive tackle,,1994-04-12,,,,,,,,,,,,,,,,,,,,,,,,AdamButler01.jpeg,,,,,,,Adam Oneal Butler is an American football defensive tackle for the New England Patriots of the National Football League. He played college football at Vanderbilt.,,,,,,,
100056,Ja’Whaun Bentley,RECYCLED,,Linebacker,,1996-08-24,,,,,,,,,,,,,,,,,,,,,,,,JaWhaunBentley01.jpeg,,,,,,,Ja'Whaun Louis Bentley is an American football linebacker for the New England Patriots of the National Football League. He played college football at Purdue. He was drafted by the Patriots in the fifth round of the 2018 NFL Draft.,,,,,,,
